ICD10	phecodes
T36.2	960.1,960.0
T36.3	960.1,960.0
T36.4	960.1,960.0
T38.0	962.3,962.0
T38.4	963.0,962.0
T38.5	962.3,962.0
T45.8	964.0,963.0
T59.2	989.0,987.0
T61.1	136.0,988.0
T63.2	913.0,1015.0,979.0
T65.6	989.0,981.0
T70.4	1015.0,1014.0
T78.3	947.0,946.0
T80.4	1011.0,942.0
T81.7	854.0,1011.0
T82.6	81.0,854.0
T83.5	81.0,857.0
T83.6	81.0,857.0
T84.7	858.0,81.0
T86.3	429.1,510.2
T87.2	874.0,851.0
T88.0	1011.0,80.0
T88.6	1011.0,946.0
T90	819.0,1009.0
T90.9	1009.0,819.0
T95.1	1000.0,1012.0
T95.3	1000.0,1012.0
Y40.3	960.1,979.0
Y53.5	973.0,979.0
Y53.7	979.0,973.0
Y56.1	979.0,976.0
Y56.3	979.0,976.0
Z37.7	634.0,651.0
Z43.2	1010.0,559.0
Z43.5	599.0,1010.0
Z43.6	1010.0,599.0
Z51.1	197.0,1010.0
Z85.1	165.0,165.1
Z86.2	277.0,289.3
Z94.3	510.2,429.1
